,Datum,Result
392,22. Juli,"['Sonderbarer Gerichtsgebrauch.', 'Der Verurteilte wird in seiner Zelle vom Scharfrichter erstochen, ohne daß andere Personen zugegen sein dürfen.', 'Er sitzt am Tisch und beendet seinen Brief oder seine letzte Mahlzeit.', 'Es klopft, es ist der Scharfrichter.', '»Bist du fertig?« fragt er.']"
393,21. August,"['Zur Sammlung.', '»Alle schönen Worte vom Hinauswachsen über die Natur erweisen sich als wirkungslos gegenüber den Urmächten des Lebens.« (Aufsätze gegen Monogamie.)']"
394,27. August,"['Schlußansicht nach zwei schauerlichen Tagen und Nächten: Danke deinem Beamtenlaster der Schwäche, Sparsamkeit, Unschlüssigkeit, Berechnungskunst, Vorsorge usw., daß du die Karte an F. nicht weggeschickt hast.']"
395,8. Oktober,"['Foerster: Die Behandlung der im Schulleben enthaltenen menschlichen Beziehungen zu einem Gegenstand des Unterrichts machen.', 'Die Erziehung als Verschwörung der Großen.']"
396,16. Oktober,[]
397,18. Oktober,"['Aus einem Brief:An Felice Bauer.', 'Es ist nicht so einfach, daß ich das, was du über Mutter, Eltern, Blumen, Neujahr und Tischgesellschaft sagst, einfach hinnehmen könnte.']"
398,30. Oktober,"['Zwei Herren sprachen im Sattelraum über ein Pferd, dem ein Stallknecht den Hinterleib massierte.']"
399,6. April,"['Im kleinen Hafen, wo außer Fischerbooten nur die zwei Passagierdampfer, die den Seeverkehr besorgen, zu halten pflegen, lag heute eine fremde Barke.']"
400,29. Juli,"['Hofnarr.', 'Studie über den Hofnarren.', 'Die großen Zeiten des Hofnarrentums sind wohl vorüber und kommen nicht wieder.', 'Alles zielt anderswohin, das ist nicht zu leugnen.']"
401,30. Juli,"['Fräulein K. Verlockungen, mit denen das Wesen nicht mitgeht.', 'Das Auf und Zu, das Dehnen, Spitzen, Aufblühn der Lippen, als modellierten dort unsichtbar die Finger.']"
402,31. Juli,[]
403,1. August,"['Altprager Geschichten des Dr. O. auf der Schwimmhalle.', 'Die wilden Reden gegen die Reichen, die Friedrich AdlerPrager Dichter, der (mit Hugo Salus) für die uns vorangegangene Generation maßgebend war.']"
404,2. August,"['Meistens wohnt der, den man sucht, nebenan.', 'Zu erklären ist dies nicht ohne weiteres, man muß es zunächst als Erfahrungstatsache hinnehmen.', 'Sie ist so tief begründet, daß man sie nicht verhindern kann, selbst wenn man es darauf anlegt.']"
405,3. August,"['Noch einmal schrie ich aus voller Brust in die Welt hinaus.', 'Dann stieß man mir den Knebel fest ein, fesselte Hände und Füße und band mir ein Tuch vor die Augen.']"
406,4. August,[]
407,5. August,"['Nachmittag in Radešowitz mit Oskar.', 'Traurig, schwach, oft bemüht, die Kernfrage wenigstens zu halten.']"
408,6. August,"['A.', 'Ich bin mit dir nicht zufrieden.B.', 'Ich frage nicht warum.', 'Ich weiß es.A.', 'Und?B.', 'Ich bin machtlos.', 'Ich kann nichts ändern.', 'Achselzucken undMundverziehn, mehr kann ich nicht.A.', 'Ich werde dich zu meinem Herrn führen.', 'Willst du?B.', 'Ich schäme mich.', 'Wie wird er mich aufnehmen?']"
409,9. August,"['Der Reisende machte eine unbestimmte Handbewegung, ließ von seinen Bemühungen ab, stieß die zwei wieder vom Leichnam fort und wies ihnen die Kolonie, wohin sie sofort gehen sollten.']"
410,15. September,[]
411,12. September 1917,"['statt.Du hast, soweit diese Möglichkeit überhaupt besteht, die Möglichkeit, einen Anfang zu machen.', 'Verschwende sie nicht.', 'Du wirst den Schmutz, der aus dir aufschwemmt, nicht vermeiden können, wenn du eindringen willst.', 'Wälze dich aber nicht darin.']"
412,18. September,['Alles zerreißen.']
413,19. September,[]
414,21. September,"['F. war hier, fährt, um mich zu sehn, dreißig Stunden, ich hätte es verhindern müssen.', 'So wie ich es mir vorstelle, trägt sie, wesentlich durch meine Schuld, ein Äußerstes an Unglück.']"
415,22. September,['Nichts.']
416,25. September,"['Weg zum Wald.', 'Zerstört hast du alles, ohne es eigentlich besessen zu haben.', 'Wie willst du es wieder zusammenfügen?', 'Was für Kräfte bleiben noch dem schweifenden Geist zu dieser größten Arbeit?']"
417,28. September,"['Grundriß der Gespräche mit F. Ich: So weit habe ich es also gebracht.F.', ': So weit habeiches gebracht.Ich: So weit habe ich dich gebracht.F.', ': Das ist wahr.', 'Dem Tod also würde ich mich anvertrauen.', 'Rest eines Glaubens.', 'Rückkehr zum Vater.', 'Großer Versöhnungstag.']"
418,1. Oktober,[').']
419,8. Oktober,"['Inzwischen: Klagebriefe F.s, G.B.', 'droht mit einem Brief.', 'Trostloser Zustand (courbature).']"
420,9. Oktober,"['Beim Bauer Lüftner.', 'Die große Diele.', 'Theatralisch das Ganze.', 'Er nervös mit Hihi und Haha und Auf-den-Tisch-Schlagen und Armheben und Achselzucken und Bierglasheben wie ein Wallensteiner.', 'Daneben die Frau, eine Greisin, die er als ihr Knecht vor zehn Jahren geheiratet hat.']"
421,14. Oktober,"['Ein achtzehnjähriger Junge kommt, sich von uns zu verabschieden, er rückt morgen ein: »Indem ich morgen einrücke, komme ich mich von Ihnen beurlauben.«']"
422,15. Oktober,"['Auf der Landstraße gegen Oberklee am Abend; ging deshalb, weil in der Küche der Schaffer und zwei ungarische Soldaten saßen.', 'Die Aussicht auf Ottlas Fenster in der Dämmerung, drüben ein Haus und hinter ihm schon freies Feld.']"
423,21. Oktober,"['Schöner Tag, sonnig, warm, windstill.']"
424,6. November,['Glattes Unvermögen.']
425,10. November,"['Das Entscheidende habe ich bisher nicht eingeschrieben, ich fließe noch in zwei Armen.', 'Die wartende Arbeit ist ungeheuerlich.']"
426,30. Juni,"['Im Riegerpark gewesen.', 'An den Jasminbüschen mit J.Kafkas zweite Verlobte, Fräulein Julie Wohryzek.', '– Diese Beziehung dauerte nur etwa ein halbes Jahr.auf- und abgegangen.', 'Lügenhaft und wahr, lügenhaft im Seufzen, wahr in der Gebundenheit, im Vertrauen, im Geborgensein.']"
427,6. Juli,"['Immerfort der gleiche Gedanke, das Verlangen, die Angst.', 'Aber doch ruhiger als sonst, so als ob eine große Entwicklung vor sich ginge, deren fernes Zittern ich spüre.', 'Zuviel gesagt.']"
428,5. Dezember,"['Wieder durch diesen schrecklichen langen engen Spalt gerissen, der eigentlich nur im Traum bezwungen werden kann.', 'Aus eigenem Willen ginge es allerdings im Wachen niemals.']"
429,8. Dezember,"['Montag Feiertag im Baumgarten, im Restaurant, in der Galerie.', 'Leid und Freude, Schuld und Unschuld, wie zwei unlösbar ineinander verschränkte Hände, man müßte sie durchschneiden durch Fleisch, Blut und Knochen.']"
430,9. Dezember,"['Viel Eleseus.Kafka las damals den Roman ›Segen der Erde‹ von Knut Hamsun; diesen Dichter liebte und bewunderte er ganz besonders.Aber wohin ich mich wende, schlägt mir die schwarze Welle entgegen.']"
431,11. Dezember,"['Donnerstag.Kälte.', 'Schweigend mit J. im Riegerpark.', 'Verführung auf dem Graben.', 'Das alles ist zu schwer.', 'Ich bin nicht genug vorbereitet.']"
432,9. Januar,"['Aberglaube und Grundsatz und Ermöglichung des Lebens: Durch den Himmel der Laster wird die Hölle der Tugend erworben.', 'So leicht?', 'So schmutzig?', 'So unmöglich?', 'Aberglaube ist einfach.', 'Ein segmentartiges Stück ist ihm aus dem Hinterkopf herausgeschnitten.']"
433,16. Oktober,[]
434,17. Oktober,"['Dahinter, daß ich nichts Nützliches gelernt habe und mich – was zusammenhängt – auch körperlich verfallen ließ, kann eine Absicht liegen.', 'Ich wollte unabgelenkt bleiben, unabgelenkt durch die Lebensfreude eines nützlichen und gesunden Mannes.']"
435,18. Oktober,"['Ewige Kinderzeit.', 'Wieder ein Ruf des Lebens.', 'Es ist sehr gut denkbar, daß die Herrlichkeit des Lebens um jeden und immer in ihrer ganzen Fülle bereitliegt, aber verhängt, in der Tiefe, unsichtbar, sehr weit.', 'Aber sie liegt dort, nicht feindselig, nicht widerwillig, nicht taub.']"
436,19. Oktober,"['Das Wesen des Wüstenwegs.', 'Ein Mensch, der als Volksführer seines Organismus diesen Weg macht, mit einem Rest (mehr ist nicht denkbar) des Bewußtseins dessen, was geschieht.']"
437,20. Oktober,"['Nachmittag Langer, dann Max, liest ›Franzi‹ vor.', 'Ein Traum, kurz in einem krampfhaften, kurzen Schlaf, krampfhaft mich festgehalten, in maßlosem Glück.']"
438,21. Oktober,"['Es war ihm unmöglich gewesen, in das Haus einzutreten, denn er hatte eine Stimme gehört, welche ihm sagte: »Warte, bis ich dich fuhren werde!« Und so lag er noch immer im Staub vor dem Haus, obgleich wohl schon alles aussichtslos war (wie Sara sagen würde).']"
439,22. Oktober,"['Ein Kenner, ein Fachmann, einer, der seinen Teil weiß, ein Wissen allerdings, das nicht vermittelt werden kann, aber glücklicherweise auch niemandem nötig zu sein scheint.']"
440,23. Oktober,"['Nachmittag.', 'Palästinafilm.']"
441,25. Oktober,"['Gestern Ehrenstein.', 'Die Eltern spielten Karten; ich saß allein dabei, gänzlich fremd; der Vater sagte, ich solle mitspielen oder wenigstens zuschauen; ich redete mich irgendwie aus.', 'Was bedeutete diese seit der Kinderzeit vielmals wiederholte Ablehnung?']"
442,29. Oktober,"['Einen der nächsten Abende beteiligte ich mich dann wirklich, indem ich für die Mutter die Ergebnisse notierte.', 'Es ergab sich aber kein Nähersein, und wenn auch eine Spur dessen da war, so wurde sie überhäuft von Müdigkeit, Langeweile, Trauer über die verlorene Zeit.']"
443,30. Oktober,"['Nachmittag Theater, Pallenberg.', 'Meine inneren Möglichkeiten für (ich will nicht sagen Darstellung oder Dichtung des ›Geizigen‹, sondern für) den Geizigen selbst.']"
444,1. November,"['Werfels ›Bocksgesang‹.', 'Die freie Verfügung über eine Welt unter Mißachtung ihrer Gesetze.', 'Die Auferlegung des Gesetzes.', 'Glück dieser Gesetzestreue.']"
445,2. November,"['Vage Hoffnung, vages Zutrauen.', 'Ein endlos trüber Sonntagnachmittag, ganze Jahre aufzehrend, ein aus Jahren bestehender Nachmittag.', 'Abwechselnd verzweifelt in den leeren Gassen und beruhigt auf dem Kanapee.']"
446,3. November,['Der Anruf.']
447,7. November,"['Unentrinnbare Verpflichtung zur Selbstbeobachtung: Werde ich von jemandem andern beobachtet, muß ich mich natürlich auch beobachten, werde ich von niemandem sonst beobachtet, muß ich mich um so genauer beobachten.']"
448,1. Dezember,"['M. nach vier Besuchen weggefahren, fährt morgen weg.', 'Vier ruhigere Tage innerhalb von gequälten.', 'Ein langer Weg von da, daß ich über ihre Abreise nicht traurig bin, nicht eigentlich traurig bin, bis dorthin, daß ich wegen ihrer Abreise unendlich traurig bin.']"
449,2. Dezember,"['Briefschreiben im Zimmer der Eltern.', 'Die Formen des Niedergangs sind unausdenkbar.']"
450,6. Dezember,"['Aus einem Brief: »Ich wärme mich daran in diesem traurigen Winter.« Die Metaphern sind eines in dem vielen, was mich am Schreiben verzweifeln läßt.']"
451,20. Dezember,"['Vieles durchgelitten in Gedanken.', 'Aus tiefem Schlaf wurde ich aufgeschreckt.', 'In der Mitte des Zimmers saß an einem kleinen Tischchen bei Kerzenlicht ein fremder Mann.', 'Er saß im Halbdunkel breit und schwer, der aufgeknöpfte Winterrock machte ihn noch breiter.']"
452,23. Dezember,"['Wieder über ›Náš Skautík‹Zeitschrift der tschechischen Scout-Bewegung.', 'Alle Erziehungsprobleme interessierten Kafka.', 'gesessen.', '›Iwan Iljitsch‹.Die bekannte Erzählung Tolstois, die neben den ›Volkserzählungen‹ (vor allem ›Die drei Greise‹) von Kafka sehr geliebt wurde.']"
453,17. Januar,['Kaum anders.']
454,18. Januar,"['Jenes etwas stiller, dafür kommt G. Erlösung oder Verschlimmerung, wie man will.', 'Einen Augenblick Denken: Gib dich zufrieden, lerne (lerne, Vierzigjähriger) im Augenblick zu ruhn (doch, einmal konntest du es).', 'Ja, im Augenblick, dem schrecklichen.']"
455,19. Januar,"['Was bedeuten die gestrigen Feststellungen heute?', 'Bedeuten das gleiche wie gestern, sind wahr, nur daß das Blut in den Rinnen zwischen den großen Steinen des Gesetzes versickert.']"
456,20. Januar,"['Ein wenig stiller.', 'Wie notwendig war es.', 'Kaum ist es ein wenig stiller, ist es fast zu still.', 'Als bekäme ich das wahre Gefühl meiner selbst nur, wenn ich unerträglich unglücklich bin.', 'Das ist wohl auch richtig.']"
457,21. Januar,"['Es ist noch nicht zu still.', 'Plötzlich im Theater, angesichts des Gefängnisses Florestans, öffnet sich der Abgrund.', 'Alles, Sänger, Musik, Publikum, Nachbarn, alles ferner als der Abgrund.', 'So schwer war die Aufgabe niemandes, soviel ich weiß.']"
458,22. Januar,"['Nächtlicher Entschluß.', 'Die Bemerkung hinsichtlich der »Junggesellen der Erinnerung«Diese Bemerkung steht in Kafkas erstem Buch ›Betrachtung‹.']"
459,23. Januar,"['Wieder kam Unruhe.', 'Woher?', 'Aus bestimmten Gedanken, die schnell vergessen werden, aber die Unruhe unvergeßlich hinterlassen.', 'Eher als die Gedanken, könnte ich den Ort angeben, wo sie kamen, einer zum Beispiel auf dem kleinen Rasenweg, der an der Alt-Neu-Synagoge vorüberführt.']"
460,24. Januar,"['Das Glück der Jungen und alten Ehemänner im Bureau.', 'Mir unzugänglich, und wenn es mir zugänglich wäre, mir unerträglich und doch das einzige, an dem mich zu sättigen ich Anlage habe.', 'Das Zögern vor der Geburt.']"
461,27. Januar,"['Spindlermühle.', 'Notwendigkeit der Unabhängigkeit von dem mit Ungeschick gemischten Unglück des doppelten Schlittens, des zerbrochenen Koffers, des wackelnden Tisches, des schlechten Lichtes, der Unmöglichkeit, im Hotel nachmittag Ruhe zu haben u. dgl.']"
462,28. Januar,"['Ein wenig bewußtlos, müde vom Rodeln, es gibt noch Waffen, so selten angewendet, ich dringe so schwer zu ihnen vor, weil ich die Freude an ihrem Gebrauch nicht kenne, als Kind nicht gelernt habe.']"
463,29. Januar,['Angriffe auf dem Weg im Schnee am Abend.']
464,30. Januar,"['Warten auf die Lungenentzündung.', 'Furcht, nicht so sehr vor der Krankheit als wegen der Mutter und vor ihr, vor dem Vater, dem Direktor und weiterhin allen.']"
465,31. Januar,"['Das würde heißen, daß ich wegen der Mutter am Leben bin.', 'Das kann nicht richtig sein, denn selbst wenn ich unendlich viel mehr wäre, als ich bin, wäre ich nur ein Abgesandter des Lebens und wenn durch nichts anderes, durch diesen Auftrag mit ihm verbunden.']"
466,1. Februar,"['Nichts, nur müde.', 'Glück des Fuhrmanns, der jeden Abend so, wie ich heute meinen, und noch viel schöner erlebt.', 'Abend etwa auf dem Ofen.']"
467,2. Februar,"['Kampf auf dem Weg zum Tannenstein am Vormittag, Kampf beim Zuschauen des Skiwettspringens.']"
468,3. Februar,"['Schlaflos, fast gänzlich; von Träumen geplagt, so wie wenn sie in mich, in ein widerwilliges Material eingekratzt würden.']"
469,4. Februar,"['In der verzweifelten Kälte, das veränderte Gesicht, die unbegreiflichen anderen.', 'Was M. sagte, ohne die Wahrheit dessen vollständig verstehen zu können (es gibt auch einen berechtigten traurigen Hochmut), über das Glück des Plauderns mit Menschen.']"
470,5. Februar,"['Ihnen entlaufen.', 'Irgendein geschickter Sprung.', 'Zu Hause bei der Lampe im stillen Zimmer.', 'Unvorsichtig, es zu sagen.', 'Es ruft sie aus den Wäldern, wie wenn man die Lampe angezündet hätte, um ihnen auf die Spur zu helfen.']"
471,6. Februar,[]
472,7. Februar,['Geschützt und verbraucht von K. und H.']
473,8. Februar,"['Äußerst mißbraucht von beiden und doch – leben könnte ich zwar so nicht und es ist kein Leben, es ist ein Seilziehn, bei dem der andere fortwährend arbeitet und siegt und doch mich niemals hinüberbekommt, aber eine friedliche Betäubung ist es, ähnlich wie damals bei W.']"
474,9. Februar,"['Zwei Tage verloren, aber die gleichen zwei Tage gebraucht zur Einbürgerung.']"
475,10. Februar,"['Schlaflos, ohne den geringsten Zusammenhang mit Menschen, außer dem von ihnen selbst hergestellten, der mich für den Augenblick überzeugt, wie alles, was sie tun.', 'Neuer Angriff von G.']"
476,12. Februar,[]
477,13. Februar,"['Die Möglichkeit, aus voller Brust zu dienen.']"
478,14. Februar,"['Die Macht des Behagens über mich, meine Ohnmacht ohne das Behagen.', 'Ich kenne niemanden, bei dem beide sogroß wären.', 'Infolgedessen ist alles, was ich baue, luftig, ohne Bestand, das Stubenmädchen, das mir früh das warme Wasser zu bringen vergißt, wirft meine Welt um.']"
479,15. Februar,"['Ein wenig Gesang unter mir, ein wenig Türenschlagen auf dem Gang, und alles ist verloren.']"
480,16. Februar,['Die Geschichte von der Gletscherspalte.']
481,18. Februar,"['Theaterdirektor, der alles von Grund auf selbst schaffen muß, sogar die Schauspieler muß er erst zeugen.', 'Ein Besucher wird nicht vorgelassen, der Direktor ist mit wichtigen Theaterarbeiten beschäftigt.', 'Was ist es?', 'Er wechselt die Windeln eines künftigen Schauspielers.']"
482,19. Februar,['Hoffnungen?']
483,20. Februar,"['Unmerkliches Leben.', 'Merkliches Mißlingen.']"
484,25. Februar,['Ein Brief.']
485,26. Februar,"['Ich gebe es zu – wem gebe ich es zu?', 'dem Brief?', '–, daß es in mir Möglichkeiten gibt, nahe Möglichkeiten, die ich noch nicht kenne; aber nur den Weg zu ihnen finden und, wenn ich ihn gefunden habe, wagen!']"
486,27. Februar,"['Ein schlechter Nachmittagsschlaf, alles verändert, die Not wieder an den Leib gerückt.']"
487,28. Februar,"['Blick auf den Turm und den blauen Himmel.', 'Ruhend.']"
488,1. März,['›Richard III.‹ Ohnmacht.']
489,5. März,"['Drei Tage im Bett.', 'Kleine Gesellschaft vor dem Bett.', 'Umschwung.', 'Flucht.', 'Vollständige Niederlage.', 'Immer die in Zimmern eingesperrte Weltgeschichte.']"
490,6. März,['Neuer Ernst und Müdigkeit.']
491,7. März,"['Gestern der schlimmste Abend, so als sei alles zu Ende.']"
492,9. März,"['Das war aber nur Müdigkeit, heute aber neuer, den Schweiß aus der Stirn treibender Angriff.', 'Wie wäre es, wenn man an sich selbst erstickte?', 'Wenn durch drängende Selbstbeobachtung die Öffnung, durch die man sich in die Welt ergießt, zu klein oder ganz geschlossen würde?']"
493,13. März,"['Das reine Gefühl und die Klarheit über seine Gründe.', 'Der Anblick der Kinder, besonders eines Mädchens (aufrechter Gang, kurze schwarze Haare) und eines anderen (blond, unbestimmte Züge, unbestimmtes Lächeln), die aufmunternde Musik, der Marschtritt.']"
494,15. März,"['Einwände genommen aus dem Werk: Popularisierung, und zwar mit Lust – und Zauberei.', 'Wie er an den Gefahren vorbeikommt (Blüher).Beginn der Polemik mit Hans Blühers Buch ›Secessio Judaica‹.']"
495,20. März,"['Die Abendessensunterhaltung über Mörder und Hinrichtung.', 'Unbekannt jede Angst in der ruhig atmenden Brust.', 'Unbekannt der Unterschied zwischen vollbrachtem und geplantem Mord.']"
496,22. März,"['Nachmittag.', 'Traum vom Geschwür an der Wange.', 'Die fortwährend zitternde Grenze zwischen dem gewöhnlichen Leben und dem scheinbar wirklicheren Schrecken.']"
497,24. März,"['Wie es lauert!', 'Auf dem Weg zum Arzt zum Beispiel, so häufig dort.']"
498,29. März,['Im Strom.']
499,4. April,"['Wie weit ist der Weg von der inneren Not etwa zu einer Szene wie der im Hof, und wie kurz ist der Rückweg.', 'Und da man nun in der Heimat ist, kann man nicht mehr fort.']"
500,6. April,"['Schon seit zwei Tagen geahnt, gestern ein Ausbruch, weitere Verfolgung, große Kraft des Feindes.', 'Einer der Anlässe: Gespräch mit der Mutter, Scherze über die Zukunft.', '– Geplanter Brief an Milena.', 'Die drei Erinnyen.', 'Flucht in den Hain.', 'Milena.']"
501,7. April,"['Die zwei Bilder und die zwei Terrakotten in der Ausstellung.', 'Märchenprinzessin (Kubin), nackt auf dem Diwan, blickt durch das offene Fenster, stark hereindringende Landschaft, in ihrer Art freie Luft wie auf dem Bild von Schwind.']"
502,10. April,"['Die fünf Leitsätze zur Hölle (genetische Aufeinanderfolge): 1.', '»Hinter dem Fenster ist das Schlimmste.« Alles andere ist engelhaft, entweder ausdrücklich oder bei Nichtbeachtung (der häufigere Fall) schweigend zugegeben.', '2.']"
503,13. April,"['Maxens Leid.', 'Vormittag in seinem Bureau.', 'Nachmittag vor der Teinkirche (Ostersonntag).', 'Junges kleines Mädchen, achtzehn Jahre, Nase, Kopfform, blond, im Profil flüchtig gesehn, kam aus der Kirche.']"
504,16. April,"['Maxens Leid.', 'Spaziergang mit ihm.', 'Dienstag fährt er fort.']"
505,27. April,"['Gestern Makkabimädchen in der ›Selbstwehr‹-Redaktion, telephoniert: »Přišla jsem ti pomoct.«Makkabimädchen.Makkabi, hier der Name zionistischer Sportvereine.', '›Selbstwehr‹ hieß das Prager zionistische Wochenblatt.']"
506,8. Mai,"['Arbeit mit dem Pflug.', 'Er bohrt sich tief ein und fährt doch leicht.', 'Oder er ritzt nur den Boden.', 'Oder er fährt leer mit hochgezogener nichtiger Pflugschar, mit ihr oder ohne sie, es ist gleichgültig.', 'Die Arbeit schließt sich, wie sich eine ungeheilte Wunde schließen kann.']"
507,12. Mai,"['›Maggid.‹›Der große Maggid‹ (Prediger), Titel eines Buches von Martin Buber über den chassidischen Rabbi Dow Bär von Mesritsch, einen Jünger des Baalschem.', 'Auf dieses Buch bezieht sich auch die erste Eintragung vom']"
508,12. Mai,['Die ununterbrochene Mannigfaltigkeit und mitten darin einmal der rührende Anblick einer augenblicksweise nachlassenden Variationskraft.']
509,19. Mai,"['Zu zweit fühlt er sich verlassener als allein.', 'Ist er mit jemandem zu zweit, greift dieser zweite nach ihm, und er ist ihm hilflos ausgeliefert.']"
510,20. Mai,"['Die Freimaurer auf dem Altstädter Ring.', 'Die mögliche Wahrheit jeder Rede und Lehre.', 'Das kleine, schmutzige, bloßfüßige laufende Mädchen im Hemdkleidchen mit wehendem Haar.']"
511,23. Mai,[]
512,5. Juni,"['Begräbnis Myslbecks.Myslbeckwar ein bedeutender tschechischer Bildhauer.', 'Talent für »Flickarbeit«.']"
513,16. Juni,[]
514,23. Juni,"['Planá.In Planá an der Luznice war Kafka wieder bei seiner Schwester Ottla zur Erholung.', '– Die Luschnitz ist ein Nebenfluß der Moldau in Südostböhmen.']"
515,27. Juli,"['Die Angriffe.', 'Gestern Abendspaziergang mit dem Hund.', 'Tvrz Sedlec.›Tvrz‹ bedeutet Festung.Die Kirschallee beim Waldausgang, die fast die Heimlichkeit eines Zimmers erzeugt.', 'Rückkehr von Mann und Frau vom Feld.']"
516,26. September,"['Zwei Monate nichts eingetragen.', 'Mit Unterbrechungen gute Zeit, verdanke sie Ottla.', 'Seit ein paar Tagen wieder Zusammenbruch.', 'An seinem ersten Tag eine Art Entdeckung im Wald gemacht.']"
517,14. November,"['Abend immer 37.6, 37.7.', 'Sitze beim Schreibtisch, bringe nichts zuwege, komme kaum auf die Gasse.', 'Trotzdem Tartufferie, über die Krankheit zu klagen.']"
518,18. Dezember,"['Die ganze Zeit über im Bett.', 'Gestern ›Entweder-Oder‹.Von Kierkegaard.', ""''Und doch."", 'Kein »und doch«, so ängstlich und gespannt du mich ansiehst, Krizanowskaja auf der Ansichtskarte vor mir.', 'Immer ängstlicher im Niederschreiben.', 'Es ist begreiflich.']"
